ophys_experiment_id,equipment_name,full_genotype,mouse_id,reporter_line,driver_line,sex,age_in_days,cre_line,indicator,session_number,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,ophys_session_id,behavior_session_id,ophys_container_id,project_code,imaging_depth,targeted_structure,date_of_acquisition,session_type,file_id
959388788,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,217.0,Sst-IRES-Cre,GCaMP6f,5.0,0,1.0,6,958772311,958888263,1018028342,VisualBehaviorMultiscope,150,VISp,2019-10-01 08:25:28.921369,OPHYS_5_images_B_passive,1086012491
959388800,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,217.0,Sst-IRES-Cre,GCaMP6f,5.0,0,1.0,6,958772311,958888263,1018028351,VisualBehaviorMultiscope,75,VISl,2019-10-01 08:25:28.921369,OPHYS_5_images_B_passive,1086012156
959388798,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,217.0,Sst-IRES-Cre,GCaMP6f,5.0,0,1.0,6,958772311,958888263,1018028357,VisualBehaviorMultiscope,225,VISl,2019-10-01 08:25:28.921369,OPHYS_5_images_B_passive,1086012217
960410026,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,218.0,Sst-IRES-Cre,GCaMP6f,6.0,0,2.0,7,959458018,959681045,1018028345,VisualBehaviorMultiscope,225,VISp,2019-10-02 08:52:18.346563,OPHYS_6_images_B,1085402096
960410028,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,218.0,Sst-IRES-Cre,GCaMP6f,6.0,0,2.0,7,959458018,959681045,1018028339,VisualBehaviorMultiscope,75,VISp,2019-10-02 08:52:18.346563,OPHYS_6_images_B,1085401362
960410023,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,218.0,Sst-IRES-Cre,GCaMP6f,6.0,0,2.0,7,959458018,959681045,1018028342,VisualBehaviorMultiscope,150,VISp,2019-10-02 08:52:18.346563,OPHYS_6_images_B,1085402092
960410042,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,218.0,Sst-IRES-Cre,GCaMP6f,6.0,0,2.0,7,959458018,959681045,1018028360,VisualBehaviorMultiscope,300,VISl,2019-10-02 08:52:18.346563,OPHYS_6_images_B,1085402016
960410038,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,218.0,Sst-IRES-Cre,GCaMP6f,6.0,0,2.0,7,959458018,959681045,1018028357,VisualBehaviorMultiscope,225,VISl,2019-10-02 08:52:18.346563,OPHYS_6_images_B,1085402082
993862620,CAM2P.4,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,476970,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,194.0,Sst-IRES-Cre,GCaMP6f,1.0,0,39.0,0,993727065,993766500,991913453,VisualBehaviorTask1B,275,VISp,2019-12-11 19:01:03.000000,OPHYS_1_images_B,993906653
994053903,CAM2P.4,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,476970,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,195.0,Sst-IRES-Cre,GCaMP6f,2.0,0,40.0,1,993984066,993995204,991913453,VisualBehaviorTask1B,275,VISp,2019-12-12 20:47:45.000000,OPHYS_2_images_B_passive,994098960
